Entry ID,Mix ID,First Author,Year,paper_id,Country / Region,Clay_pct,Silt_pct,Sand_pct,Gravel_pct,Soil Classification,Liquid_Limit_pct,Plastic_Limit_pct,Plasticity_Index_pct,Linear Shrinkage (%),Soil_SiO2_pct,Soil_Al2O3_pct,Soil_Fe2O3_pct,Soil_CaO_pct,Soil_MgO_pct,Soil_K2O_pct,Soil_Na2O_pct,Primary Precursor Type,Precursor_Family,Precursor_Content_pct,Secondary Precursor Type,Secondary Precursor Content (%),Precursor_SiO2_Al2O3_ratio,Precursor_CaO_pct,Activator Nature,Activator_Simple,Activator Type,NaOH_Concentration_molL,Silica_Modulus_SiO2_Na2O,Liquid_Binder_Ratio,Activator_Precursor_Ratio,Conv. Stabilizer Type,Conv. Stabilizer Content (%),Water Content at Comp. (%),Compaction Pressure (MPa),Dry Density (kg/m³),Curing Age at Test (d),Curing Condition,Test Standard,UCS_Dry_MPa,UCS_7d_MPa,UCS_28d_MPa,UCS_OtherAge_MPa,UCS_best_available_MPa,UCS_age_source,Water_Absorption_24h_pct
2,CEBA5,Kamwa,2023.0,Kamwa_2023.0,Cameroon,33.0,18.0,20.1,28.9,Gravel lateritic soil,57.5,29.9,27.6,,47.4,25.9,9.27,2.36,1.7,1.87,2.5,Natural Pozzolan (volcanic),Natural Pozzolan,5.0,,,,,Acidic,Acidic,H₃PO₄,,,,0.8,,0.0,27.69,8.0,1580.0,7.0,Ambient,XP P13-901; NF P 98-250; Cameroonian CEB Std,,7.5,6.24,14.0,6.24,UCS – 28d (MPa),
3,CEBA10,Kamwa,2023.0,Kamwa_2023.0,Cameroon,33.0,18.0,20.1,28.9,Gravel lateritic soil,57.5,29.9,27.6,,47.4,25.9,9.27,2.36,1.7,1.87,2.5,Natural Pozzolan (volcanic),Natural Pozzolan,10.0,,,,,Acidic,Acidic,H₃PO₄,,,,0.8,,0.0,20.83,8.0,1650.0,7.0,Ambient,XP P13-901; NF P 98-250; Cameroonian CEB Std,,10.0,9.2,14.0,9.2,UCS – 28d (MPa),
4,CEBA15,Kamwa,2023.0,Kamwa_2023.0,Cameroon,33.0,18.0,20.1,28.9,Gravel lateritic soil,57.5,29.9,27.6,,47.4,25.9,9.27,2.36,1.7,1.87,2.5,Natural Pozzolan (volcanic),Natural Pozzolan,15.0,,,,,Acidic,Acidic,H₃PO₄,,,,0.8,,0.0,16.26,8.0,1730.0,7.0,Ambient,XP P13-901; NF P 98-250; Cameroonian CEB Std,,11.88,16.24,14.0,16.24,UCS – 28d (MPa),
5,CEBA20,Kamwa,2023.0,Kamwa_2023.0,Cameroon,33.0,18.0,20.1,28.9,Gravel lateritic soil,57.5,29.9,27.6,,47.4,25.9,9.27,2.36,1.7,1.87,2.5,Natural Pozzolan (volcanic),Natural Pozzolan,20.0,,,,,Acidic,Acidic,H₃PO₄,,,,0.8,,0.0,13.02,8.0,1920.0,7.0,Ambient,XP P13-901; NF P 98-250; Cameroonian CEB Std,,17.51,17.76,14.0,17.76,UCS – 28d (MPa),
6,CEBB0,Kamwa,2023.0,Kamwa_2023.0,Cameroon,33.0,18.0,20.1,28.9,Gravel lateritic soil,57.5,29.9,27.6,,47.4,25.9,9.27,2.36,1.7,1.87,2.5,Natural Pozzolan (volcanic),Natural Pozzolan,0.0,,,,,Alkaline,Alkaline,NaOH + Na₂SiO₃,10.0,2.4,,1.0,,0.0,22.87,8.0,1640.0,7.0,Ambient,XP P13-901; NF P 98-250; Cameroonian CEB Std,,7.5,8.4,14.0,8.4,UCS – 28d (MPa),
7,CEBB5,Kamwa,2023.0,Kamwa_2023.0,Cameroon,33.0,18.0,20.1,28.9,Gravel lateritic soil,57.5,29.9,27.6,,47.4,25.9,9.27,2.36,1.7,1.87,2.5,Natural Pozzolan (volcanic),Natural Pozzolan,5.0,,,,,Alkaline,Alkaline,NaOH + Na₂SiO₃,10.0,2.4,,0.8,,0.0,21.89,8.0,1570.0,7.0,Ambient,XP P13-901; NF P 98-250; Cameroonian CEB Std,,5.4,8.4,14.0,8.4,UCS – 28d (MPa),
8,CEBB10,Kamwa,2023.0,Kamwa_2023.0,Cameroon,33.0,18.0,20.1,28.9,Gravel lateritic soil,57.5,29.9,27.6,,47.4,25.9,9.27,2.36,1.7,1.87,2.5,Natural Pozzolan (volcanic),Natural Pozzolan,10.0,,,,,Alkaline,Alkaline,NaOH + Na₂SiO₃,10.0,2.4,,0.8,,0.0,20.64,8.0,1590.0,7.0,Ambient,XP P13-901; NF P 98-250; Cameroonian CEB Std,,7.5,8.4,14.0,8.4,UCS – 28d (MPa),
9,CEBB15,Kamwa,2023.0,Kamwa_2023.0,Cameroon,33.0,18.0,20.1,28.9,Gravel lateritic soil,57.5,29.9,27.6,,47.4,25.9,9.27,2.36,1.7,1.87,2.5,Natural Pozzolan (volcanic),Natural Pozzolan,15.0,,,,,Alkaline,Alkaline,NaOH + Na₂SiO₃,10.0,2.4,,0.8,,0.0,15.82,8.0,1580.0,7.0,Ambient,XP P13-901; NF P 98-250; Cameroonian CEB Std,,9.36,9.36,14.0,9.36,UCS – 28d (MPa),
10,CEBB20,Kamwa,2023.0,Kamwa_2023.0,Cameroon,33.0,18.0,20.1,28.9,Gravel lateritic soil,57.5,29.9,27.6,,47.4,25.9,9.27,2.36,1.7,1.87,2.5,Natural Pozzolan (volcanic),Natural Pozzolan,20.0,,,,,Alkaline,Alkaline,NaOH + Na₂SiO₃,10.0,2.4,,0.8,,0.0,12.62,8.0,1610.0,7.0,Ambient,XP P13-901; NF P 98-250; Cameroonian CEB Std,,9.36,9.36,14.0,9.36,UCS – 28d (MPa),
11,G5%,Ongpeng,2020.0,Ongpeng_2020.0,Philippines,,,,,A-2-7 (AASHTO),41.11,18.14,22.97,,,,,,,,,Fly Ash,Fly Ash,5.0,,,,,Alkaline,Alkaline,NaOH,0.542,,,0.2,,,,,,28.0,Wet (sealed in plastic),ASTM C39 / ASTM C1585 / AASHTO,0.42,,0.42,,0.42,UCS – Dry (MPa),
